house_id,house_location,house_type,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
0,Moreton_Bay_Mixed,R1,16,81.446155,0.6875,13.485558,1.44187,9.352827,283.459594,331.830262,1.170644,12.957885,25.608366,1.976277,7,0.121304,0.332375,0.08799,0.347717,0.110614
1,Moreton_Bay_Mixed,R1,12,83.711368,0.583333,12.982563,3.220932,4.030685,224.920278,312.7627,1.390549,21.39529,14.618297,1.463597,4,0.165174,0,0.417413,0,0.417413
2,Moreton_Bay_Mixed,R1,18,78.626121,0.888889,10.182347,1.202917,8.464714,207.47279,249.625516,1.203172,20.266212,12.317325,1.645342,7,0.143638,0,0.388836,0,0.467958
3,Moreton_Bay_Mixed,R1,12,76.614926,0.583333,13.891411,2.926412,4.746909,257.413274,289.958508,1.126432,21.151642,13.708558,1.542952,4,0.15683,0,0.421585,0,0.421585
4,Moreton_Bay_Mixed,R1,4,63.98627,0.5,17.828098,14.165037,1.258599,225.69963,225.69963,1,21.491159,10.501976,2.046392,2,0,0,0.453523,0,0.546477
5,Moreton_Bay_Mixed,R1,4,63.80682,0.5,17.699403,14.204008,1.246085,226.966875,226.966875,1,21.194798,10.708612,1.979229,2,0,0,0.5,0,0.5
6,Moreton_Bay_Mixed,R1,4,76.617224,0.5,21.646768,16.661844,1.299182,310.976129,310.976129,1,26.631692,11.67692,2.280712,4,0,0.093715,0.396574,0.074552,0.435159
7,Moreton_Bay_Mixed,R1,4,65.318194,0.5,18.416534,14.242563,1.293063,227.454562,227.454562,1,10.068591,22.590506,2.243661,2,0,0.464613,0,0.535387,0
8,Moreton_Bay_Mixed,R1,4,65.310978,0.5,18.35498,14.300509,1.283519,229.608099,229.608099,1,10.246039,22.40945,2.187133,2,0,0.475345,0,0.524655,0
9,Moreton_Bay_Mixed,R1,4,67.956477,0.5,18.981954,14.996284,1.265777,252.887639,252.887639,1,22.967625,11.010613,2.085953,4,0,0.110939,0.384764,0.115159,0.389137
10,Moreton_Bay_Mixed,R1,4,40.966322,0.5,10.909325,9.573836,1.139494,100.877026,100.877026,1,12.244814,8.238347,1.486319,2,0,0,0.464291,0,0.535709
11,Moreton_Bay_Mixed,R1,4,45.682226,0.5,11.792989,11.048124,1.06742,129.180755,129.180755,1,12.537854,10.303259,1.216882,2,0,0,0.473745,0,0.526255
12,Moreton_Bay_Mixed,R1,4,61.062253,0.5,15.402137,15.128989,1.018055,232.869548,232.869548,1,14.855842,15.675285,1.05516,2,0,0.492721,0,0.507279,0
13,Moreton_Bay_Mixed,R1,4,69.790499,0.5,20.485803,14.409446,1.421693,221.344866,221.344866,1,8.33309,26.562159,3.187552,2,0,0.48481,0,0.51519,0
14,Moreton_Bay_Mixed,R1,4,35.577938,0.5,9.825206,7.963763,1.233739,71.315666,71.315666,1,11.68665,6.102319,1.915116,2,0,0,0.465203,0,0.534797
15,Moreton_Bay_Mixed,R1,4,68.868566,0.5,20.706319,13.727963,1.508331,186.860686,186.860686,1,6.749607,27.684676,4.101672,2,0,0.496698,0,0.503302,0
