house_id,house_location,house_type,ridges,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0,ratio_90,ratio_180,ratio_270
4,Moreton_Bay_Mixed,R1,1,4,63.99,0.5,17.83,14.17,1.26,225.7,225.7,1,21.49,10.5,2.05,2,0,0,0.45,0,0.55
5,Moreton_Bay_Mixed,R1,1,4,63.81,0.5,17.7,14.2,1.25,226.97,226.97,1,21.19,10.71,1.98,2,0,0,0.5,0,0.5
6,Moreton_Bay_Mixed,R1,1,4,76.62,0.5,21.65,16.66,1.3,310.98,310.98,1,26.63,11.68,2.28,4,0,0.09,0.4,0.07,0.44
7,Moreton_Bay_Mixed,R1,1,4,65.32,0.5,18.42,14.24,1.29,227.45,227.45,1,10.07,22.59,2.24,2,0,0.46,0,0.54,0
8,Moreton_Bay_Mixed,R1,1,4,65.31,0.5,18.35,14.3,1.28,229.61,229.61,1,10.25,22.41,2.19,2,0,0.48,0,0.52,0
9,Moreton_Bay_Mixed,R1,1,4,67.96,0.5,18.98,15,1.27,252.89,252.89,1,22.97,11.01,2.09,4,0,0.11,0.38,0.12,0.39
10,Moreton_Bay_Mixed,R1,1,4,40.97,0.5,10.91,9.57,1.14,100.88,100.88,1,12.24,8.24,1.49,2,0,0,0.46,0,0.54
11,Moreton_Bay_Mixed,R1,1,4,45.68,0.5,11.79,11.05,1.07,129.18,129.18,1,12.54,10.3,1.22,2,0,0,0.47,0,0.53
12,Moreton_Bay_Mixed,R1,1,4,61.06,0.5,15.4,15.13,1.02,232.87,232.87,1,14.86,15.68,1.06,2,0,0.49,0,0.51,0
13,Moreton_Bay_Mixed,R1,1,4,69.79,0.5,20.49,14.41,1.42,221.34,221.34,1,8.33,26.56,3.19,2,0,0.48,0,0.52,0
14,Moreton_Bay_Mixed,R1,1,4,35.58,0.5,9.83,7.96,1.23,71.32,71.32,1,11.69,6.1,1.92,2,0,0,0.47,0,0.53
15,Moreton_Bay_Mixed,R1,1,4,68.87,0.5,20.71,13.73,1.51,186.86,186.86,1,6.75,27.68,4.1,2,0,0.5,0,0.5,0
16,Moreton_Bay_Mixed,R1,1,4,41.66,0.5,10.93,9.91,1.1,106.16,106.16,1,11.95,8.89,1.34,2,0,0,0.45,0,0.55
17,Moreton_Bay_Mixed,R1,1,4,40.38,0.5,10.95,9.24,1.19,95.26,95.26,1,12.67,7.52,1.69,2,0,0,0.5,0,0.5
18,Moreton_Bay_Mixed,R1,1,4,68.95,0.5,19.32,15.16,1.27,258.23,258.23,1,23.47,11,2.13,4,0,0,0.47,0.09,0.44
19,Moreton_Bay_Mixed,R1,1,4,69.04,0.5,19.34,15.18,1.27,258.83,258.83,1,23.51,11.01,2.14,4,0,0.09,0.4,0.1,0.42
20,Moreton_Bay_Mixed,R1,1,4,43.63,0.5,11.8,10.02,1.18,111.88,111.88,1,13.58,8.24,1.65,2,0,0,0.47,0,0.53
21,Moreton_Bay_Mixed,R1,1,4,42.23,0.5,11.19,9.93,1.13,107.92,107.92,1,12.45,8.67,1.44,2,0,0,0.44,0,0.56
22,Moreton_Bay_Mixed,R1,1,4,66.55,0.5,18.77,14.51,1.29,235.88,235.88,1,10.24,23.04,2.25,2,0,0.49,0,0.51,0
23,Moreton_Bay_Mixed,R1,1,4,66.12,0.5,18.68,14.38,1.3,231.69,231.69,1,10.08,22.98,2.28,2,0,0.48,0,0.52,0
24,Moreton_Bay_Mixed,R1,1,4,67.57,0.5,19.09,14.69,1.3,241.74,241.74,1,10.29,23.5,2.28,4,0,0.39,0.11,0.38,0.13
25,Moreton_Bay_Mixed,R1,1,4,66.57,0.5,18.56,14.73,1.26,243.94,243.94,1,22.39,10.9,2.05,2,0,0,0.49,0,0.51
26,Moreton_Bay_Mixed,R1,1,4,49.92,0.5,13.38,11.58,1.16,148.47,148.47,1,9.78,15.18,1.55,2,0,0.48,0,0.52,0
27,Moreton_Bay_Mixed,R1,1,4,66.44,0.5,18.62,14.6,1.28,239.43,239.43,1,22.65,10.57,2.14,2,0,0,0.43,0,0.57
28,Moreton_Bay_Mixed,R1,1,4,38.02,0.5,9.76,9.25,1.06,89.72,89.72,1,8.73,10.28,1.18,3,0.3,0,0.34,0,0.36
29,Moreton_Bay_Mixed,R1,1,7,48.09,0.71,10.78,3.46,3.11,128.21,141.68,1.11,10.33,13.71,1.33,3,0.11,0.46,0,0.43,0
30,Moreton_Bay_Mixed,R1,1,7,42.45,0.71,9.47,2.02,4.69,107.63,112.18,1.04,11.28,9.95,1.13,2,0,0,0.45,0,0.55
