house_id,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_rotation,vector,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,house_type
1,10,56.886,1,9.657,1.89,5.11,170.88400000000001,203.407,1.19,-62.0,-0.883,14.465,14.062000000000001,1.0290000000000001,R2
2,28,81.11,1,8.436,0.555,15.21,300.058,399.656,1.3319999999999999,90.0,1.0,24.224,16.498,1.4680000000000002,R2
3,10,56.935,1,10.377,1.4880000000000002,6.971,153.298,204.957,1.337,-50.0,-0.7659999999999999,15.427999999999999,13.285,1.161,R2
4,8,52.668,1,11.241,1.4340000000000002,7.837999999999999,144.034,162.011,1.125,-82.0,-0.99,16.756,9.669,1.733,R2
6,10,60.356,1,11.832,2.4530000000000003,4.824,166.572,210.421,1.263,-80.0,-0.985,19.559,10.758,1.818,R2
7,4,54.257,1,14.21,12.852,1.1059999999999999,180.2,185.412,1.0290000000000001,10.0,0.174,15.7,11.81,1.329,R2
8,4,39.977,1,10.754000000000001,9.225,1.166,94.68,95.21,1.006,-54.0,-0.809,12.314,7.732,1.5930000000000002,R2
9,12,58.926,1,11.865,0.586,20.262,193.481,218.98,1.1320000000000001,-54.0,-0.809,16.432000000000002,13.327,1.2329999999999999,R2
11,10,59.488,1,11.818,1.87,6.319,166.47099999999998,180.41400000000002,1.084,-80.0,-0.985,14.677,12.292,1.194,R2
12,8,58.248999999999995,1,12.444,1.984,6.272,178.067,206.24,1.158,-80.0,-0.985,17.192,11.995999999999999,1.433,R2
13,8,60.071999999999996,1,12.325,3.011,4.093999999999999,205.312,226.24400000000003,1.102,-82.0,-0.99,15.59,14.512,1.074,R2
14,4,64.625,1,17.003,15.258,1.114,254.548,262.291,1.03,22.0,0.375,18.85,13.915,1.355,R2
15,8,59.711999999999996,1,13.052,2.386,5.468999999999999,164.46099999999998,223.43200000000002,1.359,-24.0,-0.40700000000000003,16.644000000000002,13.424000000000001,1.24,R2
18,10,65.433,1,12.321,2.641,4.665,209.268,272.209,1.301,-82.0,-0.99,16.879,16.127,1.047,R2
19,4,59.512,1,15.11,14.633,1.033,220.86700000000002,224.972,1.0190000000000001,-80.0,-0.985,15.684000000000001,14.344000000000001,1.093,R2
20,4,65.057,1,17.868,14.649000000000001,1.22,241.368,246.25599999999997,1.02,-82.0,-0.99,21.198,11.617,1.825,R2
22,4,47.271,1,11.878,11.742,1.012,139.629,143.45,1.0270000000000001,12.0,0.20800000000000002,12.182,11.775,1.035,R2
23,8,53.666000000000004,1,9.644,3.822,2.523,147.097,182.495,1.2409999999999999,-80.0,-0.985,13.602,13.415999999999999,1.014,R2
24,12,74.743,1,10.582,1.556,6.8020000000000005,246.403,330.77,1.3419999999999999,,0.0,18.519000000000002,17.861,1.037,R2
26,22,97.363,1,11.761,0.748,15.72,290.681,482.702,1.661,-40.0,-0.643,26.541999999999998,18.186,1.459,R2
27,8,75.048,1,17.359,0.956,18.15,334.79900000000004,341.8,1.021,-78.0,-0.978,22.504,15.189,1.482,R2
30,16,83.023,1,14.029000000000002,1.217,11.526,333.106,398.66,1.197,-80.0,-0.985,26.322,15.145,1.7380000000000002,R2
31,8,82.90700000000001,1,18.180999999999997,3.0210000000000004,6.018,345.32599999999996,422.10400000000004,1.222,86.0,0.998,24.195,17.445999999999998,1.3869999999999998,R2
32,8,67.982,1,13.460999999999999,3.858,3.489,250.28099999999998,288.38,1.1520000000000001,-82.0,-0.99,18.294,15.764000000000001,1.161,R2
33,4,40.578,1,10.802999999999999,9.472000000000001,1.14,99.01299999999999,100.925,1.0190000000000001,-88.0,-0.9990000000000001,12.220999999999998,8.259,1.48,R2
