house_id,house_location,house_type,ridges,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
197,Moreton_Bay_Mixed,R1C,1.5,6,61.047,1,15.959,4.39,3.636,212.729,220.182,1.035,18.831,11.692,1.611,6,0,0.161,0.339,0.161,0.339
218,Moreton_Bay_Mixed,R1C,1.5,6,57.109,1,15.713,3.323,4.728,165.451,171.783,1.038,19.939,8.616,2.314,6,0,0.112,0.388,0.112,0.388
203,Moreton_Bay_Mixed,R1C,1.5,6,64.755,1,16.854,4.731,3.562,238.629,248.418,1.041,12.493,19.884,1.592,6,0,0.336,0.164,0.336,0.164
204,Moreton_Bay_Mixed,R1C,1.5,6,64.101,1,16.636,4.731,3.516,233.208,243.391,1.044,12.362,19.688,1.593,6,0,0.336,0.164,0.336,0.164
200,Moreton_Bay_Mixed,R1C,1.5,8,57.334,1,12.813,1.615,7.933,169.595,179.155,1.056,19.461,9.206,2.114,8,0,0.123,0.377,0.123,0.377
222,Moreton_Bay_Mixed,R1C,1.5,8,66.028,1,15.207,2.416,6.295,231.597,245.914,1.062,21.662,11.352,1.908,8,0,0.135,0.365,0.135,0.365
202,Moreton_Bay_Mixed,R1C,1.5,6,51.498,1,13.281,3.885,3.418,136.247,145.471,1.068,8.371,17.378,2.076,6,0,0.371,0.129,0.371,0.129
194,Moreton_Bay_Mixed,R1C,1.5,8,57.657,1,12.813,1.669,7.677,170.482,182.298,1.069,19.461,9.367,2.078,8,0,0.125,0.375,0.125,0.375
189,Moreton_Bay_Mixed,R1C,1.5,8,65.606,1,14.613,2.601,5.618,237.205,253.838,1.07,20.297,12.506,1.623,8,0,0.156,0.344,0.156,0.344
184,Moreton_Bay_Mixed,R1C,1.5,8,67.192,1,15.613,1.94,8.049,217.042,234.611,1.081,23.678,9.908,2.39,8,0,0.109,0.391,0.109,0.391
214,Moreton_Bay_Mixed,R1C,1.5,10,68.794,1,15.764,0.85,18.55,222.834,241.578,1.084,24.562,9.836,2.497,9,0,0.093,0.392,0.108,0.392
185,Moreton_Bay_Mixed,R1C,1.5,10,69.072,0.9,15.785,0.981,16.089,241.641,262.755,1.087,23.22,11.316,2.052,11,0.123,0.126,0.313,0.126,0.313
217,Moreton_Bay_Mixed,R1C,1.5,8,68.072,0.875,16.09,1.965,8.186,215.263,234.61,1.09,24.434,9.602,2.545,7,0,0.099,0.367,0.014,0.521
201,Moreton_Bay_Mixed,R1C,1.5,8,59.551,1,12.998,1.925,6.752,178.294,194.687,1.092,9.696,20.08,2.071,8,0,0.373,0.127,0.373,0.127
193,Moreton_Bay_Mixed,R1C,1.5,10,66.595,0.9,15.453,1.196,12.917,210.753,231.227,1.097,23.428,9.87,2.374,9,0,0.098,0.396,0.11,0.396
205,Moreton_Bay_Mixed,R1C,1.5,8,73.258,1,16.483,3.161,5.214,275.714,303.78,1.102,23.94,12.689,1.887,8,0,0.138,0.362,0.138,0.362
212,Moreton_Bay_Mixed,R1C,1.5,8,69.436,1,15.658,2.957,5.295,245.731,270.947,1.103,22.872,11.846,1.931,8,0,0.135,0.365,0.135,0.365
220,Moreton_Bay_Mixed,R1C,1.5,8,68.49,1,15.318,2.83,5.412,245.897,271.439,1.104,21.785,12.46,1.748,8,0,0.145,0.355,0.145,0.355
213,Moreton_Bay_Mixed,R1C,1.5,10,71.239,1,15.95,1.402,11.378,252.486,278.996,1.105,23.989,11.63,2.063,10,0,0.129,0.371,0.129,0.371
219,Moreton_Bay_Mixed,R1C,1.5,10,74.227,0.9,16.054,1.474,10.892,294.653,325.887,1.106,22.854,14.26,1.603,9,0,0.158,0.342,0.158,0.342
210,Moreton_Bay_Mixed,R1C,1.5,10,71.112,1,15.904,1.064,14.952,256.536,284.45,1.109,23.4,12.156,1.925,8,0,0.141,0.356,0.135,0.368
186,Moreton_Bay_Mixed,R1C,1.5,8,68.681,1,15.499,2.786,5.564,239.867,268.127,1.118,22.337,12.004,1.861,8,0,0.138,0.368,0.126,0.368
216,Moreton_Bay_Mixed,R1C,1.5,12,74.55,1,15.244,1.031,14.792,267.78,302.653,1.13,25.324,11.951,2.119,12,0,0.127,0.373,0.127,0.373
191,Moreton_Bay_Mixed,R1C,1.5,10,71.869,1,14.912,1.561,9.552,262.165,296.53,1.131,12.84,23.095,1.799,10,0,0.351,0.149,0.351,0.149
198,Moreton_Bay_Mixed,R1C,1.5,8,62.793,1,13.3,3.183,4.178,205.134,232.533,1.134,11.97,19.426,1.623,8,0,0.339,0.161,0.339,0.161
215,Moreton_Bay_Mixed,R1C,1.5,10,75.967,1,16.682,1.529,10.913,290.383,330.069,1.137,24.525,13.459,1.822,10,0,0.142,0.358,0.142,0.357
195,Moreton_Bay_Mixed,R1C,1.5,10,70.38,1,14.521,1.744,8.325,246.548,280.818,1.139,12.231,22.959,1.877,10,0,0.388,0.112,0.355,0.145
190,Moreton_Bay_Mixed,R1C,1.5,12,70.926,0.917,15.899,0.521,30.512,246.83,281.979,1.142,23.426,12.037,1.946,10,0,0.119,0.374,0.134,0.374
206,Moreton_Bay_Mixed,R1C,1.5,10,73.773,1,15.453,1.595,9.688,260.676,298.165,1.144,24.923,11.963,2.083,10,0,0.128,0.372,0.128,0.372
209,Moreton_Bay_Mixed,R1C,1.5,8,68.988,1,14.555,3.124,4.66,237.022,271.609,1.146,12.163,22.331,1.836,8,0,0.346,0.147,0.359,0.148
221,Moreton_Bay_Mixed,R1C,1.5,10,66.121,1,13.971,1.551,9.006,218.673,251.509,1.15,21.193,11.868,1.786,10,0,0.149,0.351,0.149,0.351
211,Moreton_Bay_Mixed,R1C,1.5,8,70.504,1,15.347,3.09,4.967,236.957,273.737,1.155,11.548,23.704,2.053,8,0,0.365,0.137,0.363,0.135
