house_id,house_location,house_type,ridges,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
175,Moreton_Bay_Mixed,R2,2,8,54.548,1,12.066,1.517,7.955,182.162,185.848,1.02,13.289,13.985,1.052,7,0.162,0.209,0.175,0.265,0.189
146,Moreton_Bay_Mixed,R2,2,8,60.762,1,13.641,1.743,7.826,225.271,230.679,1.024,15.461,14.92,1.036,7,0.145,0.218,0.197,0.238,0.203
182,Moreton_Bay_Mixed,R2,2,9,66.551,0.889,13.278,1.875,7.081,266.357,273.275,1.026,14.757,18.518,1.255,5,0.316,0.247,0.08,0.27,0.087
129,Moreton_Bay_Mixed,R2,2,10,66.293,0.9,11.095,0.673,16.49,257.051,274.328,1.067,17.16,15.987,1.073,6,0.195,0.303,0.175,0.171,0.156
168,Moreton_Bay_Mixed,R2,2,6,50.054,1,11.457,5.228,2.191,142.372,152.447,1.071,14.549,10.478,1.389,6,0,0.186,0.312,0.199,0.304
179,Moreton_Bay_Mixed,R2,2,8,46.353,0.75,10.104,1.617,6.248,122.955,132.234,1.075,10.156,13.02,1.282,5,0,0.384,0.084,0.296,0.236
158,Moreton_Bay_Mixed,R2,2,8,60.862,1,12.878,2.722,4.732,203.329,221.624,1.09,18.359,12.071,1.521,7,0.108,0.159,0.287,0.184,0.261
161,Moreton_Bay_Mixed,R2,2,6,51.131,1,11.369,5.674,2.004,144.058,158.209,1.098,15.061,10.505,1.434,6,0,0.184,0.318,0.182,0.314
152,Moreton_Bay_Mixed,R2,2,12,70.052,0.917,12.253,0.864,14.189,275.849,305.195,1.106,18.742,16.284,1.151,9,0.189,0.172,0.238,0.174,0.226
123,Moreton_Bay_Mixed,R2,2,7,56.852,0.714,10.715,5.715,1.875,181.993,201.617,1.108,14.837,13.589,1.092,9,0.115,0.206,0.251,0.209,0.219
107,Moreton_Bay_Mixed,R2,2,8,54.418,1,11.91,2.265,5.258,165.161,184.498,1.117,12.841,14.368,1.119,7,0.095,0.239,0.225,0.225,0.215
115,Moreton_Bay_Mixed,R2,2,10,71.433,1,13.328,1.41,9.455,277.878,313.76,1.129,20.13,15.587,1.291,6,0.107,0.161,0.276,0.112,0.344
133,Moreton_Bay_Mixed,R2,2,10,57.411,0.9,10.602,1.563,6.783,173.647,196.697,1.133,17.403,11.302,1.54,9,0.128,0.161,0.287,0.18,0.245
164,Moreton_Bay_Mixed,R2,2,6,51.414,1,11.398,5.74,1.986,144.323,163.882,1.136,11.7,14.007,1.197,6,0,0.27,0.21,0.286,0.234
174,Moreton_Bay_Mixed,R2,2,6,52.567,0.833,11.563,5.96,1.94,150.263,171.471,1.141,14.254,12.03,1.185,6,0,0.204,0.293,0.223,0.28
173,Moreton_Bay_Mixed,R2,2,6,53.062,1,11.7,5.987,1.954,152.47,174.642,1.145,12.112,14.419,1.19,6,0,0.278,0.213,0.287,0.223
162,Moreton_Bay_Mixed,R2,2,6,52.65,1,11.602,5.948,1.95,150.377,172.349,1.146,12.213,14.112,1.155,6,0,0.269,0.221,0.293,0.217
135,Moreton_Bay_Mixed,R2,2,10,67.566,0.9,12.513,2.284,5.479,241.666,276.878,1.146,19.797,13.986,1.415,6,0.095,0.129,0.277,0.125,0.375
171,Moreton_Bay_Mixed,R2,2,6,51.258,1,11.328,5.758,1.967,141.574,162.608,1.149,11.547,14.082,1.22,6,0,0.271,0.221,0.295,0.214
159,Moreton_Bay_Mixed,R2,2,6,52.656,0.833,11.536,6.016,1.918,149.45,172.008,1.151,12.031,14.297,1.188,6,0,0.273,0.221,0.293,0.213
99,Moreton_Bay_Mixed,R2,2,8,53.314,1,10.527,3.061,3.439,153.775,177.044,1.151,14.107,12.55,1.124,6,0,0.209,0.23,0.274,0.285
169,Moreton_Bay_Mixed,R2,2,6,51.256,1,11.346,5.74,1.977,139.744,161.631,1.157,11.212,14.416,1.286,6,0,0.31,0.196,0.3,0.194
150,Moreton_Bay_Mixed,R2,2,12,69.647,0.917,12.348,1.083,11.399,249.942,289.222,1.157,13.677,21.146,1.546,9,0.096,0.304,0.136,0.327,0.136
172,Moreton_Bay_Mixed,R2,2,6,52.567,1,11.673,5.85,1.995,147.1,170.385,1.158,11.618,14.666,1.262,6,0,0.297,0.194,0.326,0.183
163,Moreton_Bay_Mixed,R2,2,6,52.324,1,11.479,5.962,1.925,146.968,170.357,1.159,12.213,13.949,1.142,6,0,0.259,0.224,0.309,0.207
180,Moreton_Bay_Mixed,R2,2,10,70.781,0.9,12.728,1.911,6.66,260.495,302.098,1.16,14.375,21.016,1.462,9,0.152,0.245,0.168,0.249,0.187
116,Moreton_Bay_Mixed,R2,2,8,63.763,1,13.507,2.967,4.552,218.586,254.105,1.162,15.987,15.895,1.006,5,0.104,0.248,0.288,0.17,0.19
138,Moreton_Bay_Mixed,R2,2,8,42.689,1,8.59,2.525,3.403,95.758,111.722,1.167,12.148,9.197,1.321,8,0,0.214,0.259,0.192,0.333
142,Moreton_Bay_Mixed,R2,2,8,42.386,1,8.578,2.39,3.589,94.166,109.874,1.167,12.15,9.043,1.344,7,0,0.222,0.289,0.177,0.317
177,Moreton_Bay_Mixed,R2,2,6,52.65,1,11.58,5.97,1.94,145.82,170.543,1.17,14.808,11.517,1.286,6,0,0.189,0.297,0.209,0.304
151,Moreton_Bay_Mixed,R2,2,8,79.82,1,15.75,4.138,3.806,318.637,375.75,1.179,24.694,15.217,1.623,8,0,0.156,0.34,0.159,0.344
181,Moreton_Bay_Mixed,R2,2,8,57.841,0.75,11.727,2.801,4.186,176.56,208.484,1.181,13.677,15.243,1.114,5,0.139,0.297,0.135,0.286,0.141
140,Moreton_Bay_Mixed,R2,2,8,42.624,1,8.521,2.489,3.423,94.149,111.152,1.181,12.204,9.108,1.34,8,0,0.216,0.256,0.204,0.325
156,Moreton_Bay_Mixed,R2,2,10,67.79,0.9,11.316,1.95,5.804,242.767,287.092,1.183,17.299,16.596,1.042,7,0.153,0.171,0.194,0.242,0.24
165,Moreton_Bay_Mixed,R2,2,6,53.391,1,11.902,5.895,2.019,150.118,177.804,1.184,12.747,13.949,1.094,6,0,0.274,0.208,0.289,0.228
139,Moreton_Bay_Mixed,R2,2,8,42.394,1,8.492,2.295,3.7,92.775,109.93,1.185,12.148,9.049,1.342,7,0,0.177,0.284,0.193,0.346
141,Moreton_Bay_Mixed,R2,2,8,42.886,1,8.574,2.393,3.582,94.914,112.774,1.188,12.197,9.246,1.319,7,0,0.223,0.278,0.185,0.315
137,Moreton_Bay_Mixed,R2,2,8,42.689,1,8.459,2.377,3.559,93.992,111.865,1.19,12.099,9.246,1.309,7,0,0.181,0.292,0.206,0.322
130,Moreton_Bay_Mixed,R2,2,10,59.371,0.9,10.222,1.761,5.803,184.594,220.279,1.193,15.007,14.679,1.022,9,0.073,0.213,0.249,0.223,0.241
176,Moreton_Bay_Mixed,R2,2,6,54.169,1,12.023,6.033,1.993,153.104,182.905,1.195,12.846,14.238,1.108,6,0,0.277,0.208,0.295,0.219
160,Moreton_Bay_Mixed,R2,2,6,54.375,1,12.083,6.042,2,154.101,184.569,1.198,13.125,14.062,1.071,6,0,0.265,0.21,0.3,0.225
114,Moreton_Bay_Mixed,R2,2,8,61.565,1,13.272,3.392,3.912,196.123,235.824,1.202,16.424,14.358,1.144,7,0.053,0.228,0.257,0.233,0.229
167,Moreton_Bay_Mixed,R2,2,6,55.534,1,12.249,6.262,1.956,159.021,192.259,1.209,14.584,13.183,1.106,6,0,0.214,0.288,0.222,0.277
136,Moreton_Bay_Mixed,R2,2,10,61.427,0.9,10.148,1.953,5.196,194.852,235.568,1.209,14.843,15.871,1.069,9,0.128,0.214,0.234,0.22,0.204
96,Moreton_Bay_Mixed,R2,2,10,63.415,0.9,11.626,2.002,5.807,206.736,250.095,1.21,14.737,16.97,1.151,7,0.208,0.243,0.137,0.255,0.158
105,Moreton_Bay_Mixed,R2,2,6,50.959,1,10.98,6.006,1.828,133.054,162.175,1.219,12.388,13.091,1.057,6,0,0.279,0.255,0.246,0.219
112,Moreton_Bay_Mixed,R2,2,8,63.843,0.75,12.158,3.51,3.464,204.176,251.356,1.231,17.803,14.119,1.261,5,0,0.14,0.316,0.135,0.407
91,Moreton_Bay_Mixed,R2,2,10,57.592,0.9,11.562,1.246,9.281,168.192,207.279,1.232,14.555,14.241,1.022,7,0.109,0.245,0.201,0.255,0.19
118,Moreton_Bay_Mixed,R2,2,10,63.637,1,11.023,2.105,5.237,205.456,253.022,1.232,15.62,16.199,1.037,9,0.09,0.224,0.251,0.229,0.205
125,Moreton_Bay_Mixed,R2,2,10,64.743,1,11.233,2.199,5.107,212.381,261.769,1.233,15.725,16.647,1.059,9,0.081,0.23,0.239,0.242,0.207
