house_id,house_location,house_type,ridges,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,roof_srf_num,ratio_flat,ratio_0*,ratio_90*,ratio_180*,ratio_270*
238,Moreton_Bay_Mixed,RMC,3,8,79.104,0.625,19.458,2.7,7.206,351.433,359.182,1.022,20.372,17.632,1.155,3,0,0.221,0.389,0,0.389
250,Moreton_Bay_Mixed,RMC,3,10,69.909,1,16.095,1.057,15.233,290.523,301.574,1.038,15.508,19.446,1.254,9,0,0.293,0.207,0.293,0.207
263,Moreton_Bay_Mixed,RMC,3,8,66.197,1,15.453,2.426,6.37,242.746,257.973,1.063,12.561,20.537,1.635,8,0,0.337,0.163,0.337,0.163
237,Moreton_Bay_Mixed,RMC,3,8,67.934,1,15.214,2.863,5.315,251.471,268.734,1.069,21.422,12.545,1.708,8,0,0.156,0.344,0.156,0.344
259,Moreton_Bay_Mixed,RMC,3,10,73.175,0.8,15.486,1.961,7.898,304.079,326.591,1.074,21.135,15.453,1.368,9,0,0.196,0.304,0.196,0.304
252,Moreton_Bay_Mixed,RMC,3,10,68.988,0.9,15.054,1.794,8.389,259.633,279.928,1.078,21.434,13.06,1.641,9,0,0.164,0.336,0.164,0.336
244,Moreton_Bay_Mixed,RMC,3,10,73.137,0.9,14.987,2.132,7.029,303.839,328.155,1.08,15.803,20.766,1.314,9,0,0.295,0.205,0.295,0.205
229,Moreton_Bay_Mixed,RMC,3,8,63.471,1,15.639,2.449,6.385,220.836,240.007,1.087,19.3,12.436,1.552,8,0,0.175,0.325,0.175,0.325
223,Moreton_Bay_Mixed,RMC,3,12,64.84,1,11.309,0.869,13.012,221.058,240.299,1.087,18.941,12.687,1.493,8,0.245,0.149,0.229,0.149,0.229
247,Moreton_Bay_Mixed,RMC,3,12,83.659,1,18.628,0.72,25.881,385.782,420.466,1.09,16.796,25.033,1.49,10,0,0.332,0.16,0.332,0.168
243,Moreton_Bay_Mixed,RMC,3,10,66.217,1,12.463,0.942,13.229,241.52,263.606,1.091,19.784,13.324,1.485,10,0,0.177,0.323,0.177,0.323
255,Moreton_Bay_Mixed,RMC,3,12,71.543,1,15.346,1.39,11.039,270.379,297.863,1.102,22.58,13.192,1.712,11,0,0.161,0.336,0.167,0.336
248,Moreton_Bay_Mixed,RMC,3,12,84.715,1,18.298,1.025,17.86,364.261,401.735,1.103,25.108,16,1.569,9,0,0.178,0.341,0.152,0.33
260,Moreton_Bay_Mixed,RMC,3,16,89.121,0.563,15.747,0.82,19.198,337.837,374.08,1.107,20.308,18.42,1.102,14,0,0.24,0.282,0.196,0.282
224,Moreton_Bay_Mixed,RMC,3,8,60.08,1,12.731,2.191,5.81,194.445,216.456,1.113,18.045,11.996,1.504,7,0.149,0.128,0.298,0.128,0.298
242,Moreton_Bay_Mixed,RMC,3,12,78.758,1,14.788,1.794,8.241,289.568,324.404,1.12,16.948,19.141,1.129,12,0,0.265,0.235,0.265,0.235
230,Moreton_Bay_Mixed,RMC,3,8,64.493,1,13.867,2.913,4.761,230.119,258.992,1.125,17.108,15.139,1.13,8,0,0.228,0.272,0.228,0.272
231,Moreton_Bay_Mixed,RMC,3,8,66.994,1,14.157,3.29,4.303,246.036,280.027,1.138,16.051,17.446,1.087,8,0,0.265,0.235,0.265,0.235
249,Moreton_Bay_Mixed,RMC,3,14,87.574,1,15.294,1.009,15.152,367.706,419.678,1.141,25.09,16.727,1.5,12,0,0.179,0.343,0.139,0.339
257,Moreton_Bay_Mixed,RMC,3,10,75.367,1,14.536,1.823,7.972,294.863,336.908,1.143,23.096,14.587,1.583,10,0,0.163,0.337,0.163,0.337
233,Moreton_Bay_Mixed,RMC,3,10,70.159,1,13.319,1.751,7.607,238.873,277.02,1.16,18.009,15.382,1.171,10,0,0.214,0.287,0.211,0.287
240,Moreton_Bay_Mixed,RMC,3,10,74.571,0.7,14.788,3.124,4.734,296.526,344.331,1.161,16.848,20.437,1.213,9,0,0.27,0.23,0.347,0.153
241,Moreton_Bay_Mixed,RMC,3,10,73.973,0.9,14.622,3.157,4.632,292.152,339.61,1.162,16.948,20.038,1.182,9,0,0.265,0.157,0.339,0.232
225,Moreton_Bay_Mixed,RMC,3,12,65.95,1,11.89,1.51,7.872,225,261.683,1.163,19.831,13.196,1.503,10,0.142,0.221,0.222,0.193,0.222
245,Moreton_Bay_Mixed,RMC,3,12,71.165,1,11.512,1.744,6.6,269.023,314.065,1.167,16.221,19.361,1.194,12,0,0.282,0.218,0.282,0.218
256,Moreton_Bay_Mixed,RMC,3,12,68.478,1,11.856,1.371,8.646,233.317,277.134,1.188,17.785,15.583,1.141,10,0,0.229,0.318,0.123,0.325
262,Moreton_Bay_Mixed,RMC,3,10,64.001,1,12.882,1.887,6.826,213.501,255.871,1.198,16.369,15.631,1.047,10,0,0.247,0.236,0.257,0.26
258,Moreton_Bay_Mixed,RMC,3,12,77.455,0.917,13.165,2.509,5.248,307.964,369.338,1.199,16.994,21.733,1.279,11,0,0.292,0.225,0.292,0.191
