house_id,fp_seg_num,fp_perimeter_len,seg_numTOunique_lengths,fp_avg_seg_len_3long,fp_avg_seg_len_3short,ratio_3lngTO3hrt,footprint_area,boundingbox_area,bbTOfp_ratio,bb_rotation,vector,bb_0_180_axis_len,bb_90_270_axis_len,bb_lngTOshrt_ratio,house_type
0,6,55.092,1,13.526,4.838,2.7960000000000003,176.53599999999997,187.9,1.064,-50.0,-0.7659999999999999,16.363,11.482999999999999,1.425,R1
17,20,74.044,1,10.64,0.7170000000000001,14.833,244.47,311.291,1.273,-82.0,-0.99,22.671999999999997,13.73,1.651,R1
21,4,51.207,1,14.062000000000001,11.519,1.2209999999999999,149.58700000000002,151.375,1.012,-80.0,-0.985,16.651,9.091000000000001,1.8319999999999999,R1
25,6,67.252,1,15.776,6.642,2.375,245.84599999999998,280.046,1.139,60.0,0.866,18.949,14.779000000000002,1.2819999999999998,R1
29,8,63.736000000000004,1,15.399000000000001,2.487,6.192,174.705,195.766,1.121,20.0,0.342,23.35,8.384,2.785,R1
36,20,64.959,1,8.714,0.871,10.01,187.047,246.11,1.3159999999999998,-78.0,-0.978,17.302,14.225,1.216,R1
47,4,49.54,1,13.630999999999998,11.133,1.224,139.42,143.875,1.032,-26.0,-0.43799999999999994,16.222,8.869,1.829,R1
52,6,42.972,1,9.939,4.385,2.267,105.956,116.931,1.104,-62.0,-0.883,12.038,9.713,1.239,R1
56,17,54.343,1,8.576,0.665,12.901,129.61700000000002,158.668,1.224,90.0,1.0,13.025,12.182,1.069,R1
59,6,43.78,1,9.86,4.734,2.083,106.03399999999999,117.01,1.104,10.0,0.174,12.884,9.081,1.419,R1
61,17,66.027,1,8.677,0.86,10.086,175.894,222.93200000000002,1.2670000000000001,56.0,0.8290000000000001,16.453,13.55,1.214,R1
71,6,46.448,1,11.468,4.015,2.8560000000000003,129.444,136.113,1.052,-26.0,-0.43799999999999994,12.078,11.27,1.072,R1
74,6,45.55,1,10.545,4.638,2.274,117.181,130.345,1.112,-80.0,-0.985,12.273,10.62,1.156,R1
85,4,52.583,1,13.952,12.302,1.1340000000000001,166.957,169.706,1.016,-80.0,-0.985,15.677,10.825,1.4480000000000002,R1
89,6,47.775,1,10.685,5.24,2.039,125.921,137.431,1.091,-80.0,-0.985,14.54,9.452,1.538,R1
90,6,47.476000000000006,1,12.265,3.56,3.445,137.515,141.516,1.0290000000000001,-24.0,-0.40700000000000003,13.564,10.433,1.3,R1
92,12,59.21,1,7.284,2.269,3.2110000000000003,154.222,216.713,1.405,38.0,0.616,16.334,13.267999999999999,1.2309999999999999,R1
97,4,58.113,1,15.933,13.074000000000002,1.219,193.28,197.685,1.023,-78.0,-0.978,18.954,10.43,1.817,R1
99,5,49.284,1,12.735999999999999,5.93,2.148,113.979,123.818,1.0859999999999999,28.0,0.469,19.116,6.477,2.951,R1
105,6,44.604,1,9.941,4.927,2.017,107.346,122.73200000000001,1.143,38.0,0.616,13.052,9.402999999999999,1.3880000000000001,R1
112,4,54.527,1,15.394,11.860999999999999,1.298,157.859,158.536,1.004,-80.0,-0.985,18.953,8.365,2.266,R1
125,13,58.553999999999995,1,7.89,1.288,6.126,179.547,216.74400000000003,1.207,-80.0,-0.985,14.847999999999999,14.597000000000001,1.0170000000000001,R1
128,6,42.558,1,10.878,3.3080000000000003,3.2880000000000003,115.256,123.83200000000001,1.074,8.0,0.139,14.065999999999999,8.804,1.598,R1
152,4,51.43600000000001,1,14.179,11.535,1.229,149.681,151.317,1.011,-80.0,-0.985,16.868,8.971,1.88,R1
155,4,44.506,1,12.5,9.729,1.285,106.81700000000001,110.665,1.036,10.0,0.174,15.402000000000001,7.185,2.144,R1
192,16,56.277,1,7.22,0.48,15.039000000000001,157.24,191.028,1.215,-80.0,-0.985,17.105999999999998,11.167,1.5319999999999998,R1
196,16,73.80199999999999,1,11.254000000000001,0.904,12.445,265.098,290.927,1.097,-70.0,-0.94,21.62,13.457,1.607,R1
215,4,53.576,1,14.341,12.439,1.153,171.328,177.485,1.036,-48.0,-0.743,16.387999999999998,10.83,1.5130000000000001,R1
230,6,48.364,1,12.552,3.57,3.516,133.75799999999998,142.369,1.064,-82.0,-0.99,14.929,9.537,1.565,R1
235,4,54.965,1,14.536,12.918,1.125,183.12599999999998,185.77700000000002,1.014,-82.0,-0.99,16.261,11.425,1.423,R1
243,16,64.068,1,9.704,1.367,7.097,149.89600000000002,185.202,1.236,-44.0,-0.695,19.658,9.421,2.0869999999999997,R1
245,4,47.851000000000006,1,13.083,10.83,1.208,131.816,132.55100000000002,1.006,-68.0,-0.927,15.362,8.629,1.78,R1
247,16,67.641,1,8.251,0.69,11.96,190.495,245.169,1.287,-80.0,-0.985,16.655,14.720999999999998,1.131,R1
249,4,56.413000000000004,1,15.975999999999999,12.229000000000001,1.306,167.33700000000002,171.843,1.0270000000000001,-82.0,-0.99,19.807000000000002,8.676,2.283,R1
253,6,48.658,1,11.449000000000002,4.77,2.4,139.556,149.536,1.072,8.0,0.139,13.597999999999999,10.997,1.237,R1
256,4,44.748999999999995,1,12.139000000000001,10.235,1.186,116.999,117.31200000000001,1.003,30.0,0.5,14.054,8.347000000000001,1.6840000000000002,R1
